Reference, Value, Footprint, Datasheet, Characteristics, Description , MFN, MFP, Package ID, Source, Source Part , Source Price, Source Link, Notes, Description, Source , Source Part, Notes , Source Link 
"R20","150 k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/pr010203-239785.pdf","1 W","Resistores de película de metal - a través del orificio 1watt 150Kohms 5%","Vishay / BC Components","PR01000101503JR500","0","Mouser","594-5073NW150K0J","0,153 €","https://www.mouser.es/ProductDetail/Vishay-BC-Components/PR01000101503JR500/?qs=sGAEpiMZZMtlubZbdhIBIDqBBcd6vlUvq83rc%2fKQHzc%3d","Value","","","","",""
"R23","4k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/cmfind-239942.pdf","500 mW","","Vishay / Dale","CMF554K0000BHEB","0","Mouser","","0,519 €","https://www.mouser.es/ProductDetail/Vishay-Dale/CMF554K0000BHEB/?qs=sGAEpiMZZMu61qfTUdNhG%2fYeirsUcb7vuWyTTpZF6XY%3d","Value","Resistores de película de metal - a través del orificio 1/2W 4Kohms .1%","","71-CMF554K0000BHEB","",""
"R16","56.7k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/cmfmil-223788.pdf","125 mW","","Vishay / Dale","RN55D5692FB14","0","Mouser","","0,094 €","https://www.mouser.es/ProductDetail/Vishay-Dale/RN55D5692FB14/?qs=sGAEpiMZZMu61qfTUdNhG%252bpsoCdlAlNbnsL9Ma9ZmB8%3d","Value","Resistores de película de metal - a través del orificio 1/8watt 56.9Kohms 1% 100ppm","","71-RN55D5692F","",""
"R14","1.5k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/sfr16s25-239894.pdf","500 mW","","Vishay / BC Components","SFR25H0001501FR500","0","Mouser","","0,128 €","https://www.mouser.es/ProductDetail/Vishay-BC-Components/SFR25H0001501FR500/?qs=sGAEpiMZZMtlubZbdhIBIDqBBcd6vlUvXD5sFurxDKI%3d","Value","Resistores de película de metal - a través del orificio 1/2W 1.5Kohms 1% SFR25H series","","594-5053HD1K500F","",""
"R7","10k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/cmfind-239942.pdf","500 mW","","Vishay / Dale","CMF5510K000BEEB","0","Mouser","","0,604 €","https://www.mouser.es/ProductDetail/Vishay-Dale/CMF5510K000BEEB/?qs=sGAEpiMZZMu61qfTUdNhG%2ftLN5a%2f3qqMbhu1tAmrWso%3d","Value","Resistores de película de metal - a través del orificio 1/2W 10Kohms .1%","","71-CMF5510K000BEEB","",""
"R19","82.5 k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/sfr16s25-239894.pdf","500 mW","Resistores de película de metal - a través del orificio 1/2W 82.5Kohms 1% SFR25H series","Vishay/BC Components","SFR25H0008252FR500","0","Mouser","594-5053HD82K50F","0,145 €","https://www.mouser.es/ProductDetail/Vishay-BC-Components/SFR25H0008252FR500/?qs=sGAEpiMZZMtlubZbdhIBIDqBBcd6vlUvBInqeF77j3k%3d","Value","","","","",""
"R22","82.5 k","Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","http://www.mouser.com/ds/2/427/sfr16s25-239894.pdf","500 mW","Resistores de película de metal - a través del orificio 1/2W 82.5Kohms 1% SFR25H series","Vishay/BC Components","SFR25H0008252FR500","0","Mouser","594-5053HD82K50F","0,145 €","https://www.mouser.es/ProductDetail/Vishay-BC-Components/SFR25H0008252FR500/?qs=sGAEpiMZZMtlubZbdhIBIDqBBcd6vlUvBInqeF77j3k%3d","Value","","","","",""
"C10","33u","Capacitors_THT:C_Axial_L3.8mm_D2.6mm_P10.00mm_Horizontal","http://www.mouser.com/ds/2/427/021asm-239741.pdf","63 VDC","Capacitadores electrolíticos de aluminio - Con patas 33uF 63V 20% Axial","Vishay/BC Components","MAL202128339E3","0","","","0,604 €","","","","Mouser","594-2222-021-28339","Value","https://www.mouser.es/ProductDetail/Vishay-BC-Components/MAL202128339E3/?qs=sGAEpiMZZMtZ1n0r9vR22fPFtzULxwAMvkuZcjbskZc%3d"
"J1","VCC+","Pin_Headers:Pin_Header_Angled_1x01_Pitch1.27mm",""
"J5","VDD-","Pin_Headers:Pin_Header_Angled_1x01_Pitch1.27mm",""
"J3","GND","Pin_Headers:Pin_Header_Angled_1x01_Pitch1.27mm",""
"J2","GND","Pin_Headers:Pin_Header_Angled_1x01_Pitch1.27mm",""
"U3","WeMos_mini","wemos_d1_mini:D1_mini_board",""
"U4","AP1117-33","TO_SOT_Packages_THT:TO-220-3_Vertical","http://www.mouser.com/ds/2/268/mic2937-779103.pdf","26 V","","Microchip Technology / Micrel","MIC2937A-5.0WT","0","Mouser","","2,42 €","https://www.mouser.es/productdetail/microchip-technology-micrel/mic2937a-50wt?qs=sGAEpiMZZMsGz1a6aV8DcP%252b6ey5cUOYkOk3Vf6HqDrc%3D","Value","Reguladores de voltaje LDO 750mA LDO Fixed Voltage","","998-MIC2937A-5.0WT","",""
"J9","Salida Previo","Pin_Headers:Pin_Header_Angled_1x01_Pitch1.27mm",""
"J8","Ajuste nivel umbral","Pin_Headers:Pin_Header_Angled_1x01_Pitch1.27mm",""
"J7","Ajuste señal salida","Pin_Headers:Pin_Header_Angled_1x01_Pitch1.27mm",""
"P1","CONN_01X08","Pin_Headers:Pin_Header_Straight_1x08_Pitch1.00mm",""
"P2","CONN_01X08","Pin_Headers:Pin_Header_Straight_1x08_Pitch1.00mm",""
